Year,Semester,Course Code,Credits,L,T,P,Slot,Name,Instructor
2024-25,2,AMD812,12,0,0,24,X,MAJOR PROJECT PART-II-AMD812,ARJUN SHARMA
2024-25,2,AMD897,4,0,0,8,X,MINOR PROJECT-AMD897,KIRAN RAMESH
2025-26,1,AML702,4,3,0,2,D,APPLIED COMPUTATIONAL METHOD-AML702,ANUPAM DEWAN
2024-25,2,AML706,3,3,0,0,E,FINITE ELEMENT METHODS & ITS APPL.TO MARINE STRU.-AML706,NIKHIL WALANI
2024-25,2,AML792,3,3,0,0,J,STRUCTURAL DESIGN OF SHIPS.-AML792,KIRAN RAMESH
2024-25,2,AML795,3,3,0,0,F,SUBMARINE DESIGN-AML795,NAVNEET VINODKUMAR SAXENA
2024-25,2,APD412,6,0,0,12,X,B.TECH PROJECT II-APD412,PRATEEK GUPTA
2024-25,2,APD811,6,0,0,12,X,MAJOR PROJECT PART-I-APD811,ARJUN SHARMA
2024-25,2,APD895,36,0,0,72,X,MS RESEARCH PROJECT-APD895,SITIKANTHA ROY
2024-25,2,APL100,4,3,1,0,A,ENGINEERING MECHANICS-APL100,"SAWAN SUMAN SINHA , ARGHYA SAMANTA , NARSING KUMAR JHA , SABYASACHI CHATTERJEE , SRIHARI SANKARASARMA VEMURI"
2024-25,2,APL100,4,3,1,0,AA,ENGINEERING MECHANICS-APL100,"RAJDIP NAYEK , SABYASACHI CHATTERJEE , SRIHARI SANKARASARMA VEMURI , RITABRATA THAKUR , ARGHYA SAMANTA"
2024-25,2,APL103,4,3,0,2,E,EXPERIMENTAL METHODS-APL103,S.V. VEERAVALLI
2024-25,2,APL105,4,3,1,0,A,MECHANICS OF SOLIDS AND FLUIDS-APL105,"SANJEEV SANGHI , PRAPANCH NAIR , SUSHMA SANTAPURI , ARJUN SHARMA , VIKRANT TIWARI , ARPIT KUMAR AGRAWAL"
2024-25,2,APL203,4,3,1,0,S1,DYNAMICS OF MECHANICAL SYSTEMS-APL203,RITWIK BANDYOPADHYAY
2024-25,2,APL206,2,2,0,0,H,ENGINEERING THERMODYNAMICS-APL206,NARSING KUMAR JHA
2024-25,2,APL207,2,2,0,0,SU1,HEAT TRANSFER-APL207,AMITABH BHATTACHARYA
2024-25,2,APL306,3,3,0,0,F,VIBRATION-APL306,SANTOSH KAPURIA
2024-25,2,APL311,4,3,0,2,C,INTRODUCTION TO FINITE ELEMENT METHOD-APL311,PUNEET MAHAJAN
2025-26,1,APL321,4,3,0,2,D,INTRODUCTION TO COMPUTATIONAL FLUID DYNAMICS-APL321,AMITABH BHATTACHARYA
2024-25,2,APL331,3,3,0,0,J,ADVANCED MECHANICS OF SOLIDS-APL331,GAURAV SINGH
2024-25,2,APL405,3,2,0,2,F,MACHINE LEARNING IN MECHANICS-APL405,MD RUSHDIE IBNE ISLAM
2024-25,2,APL405,3,2,0,2,SU2,MACHINE LEARNING IN MECHANICS-APL405,MD RUSHDIE IBNE ISLAM
2024-25,2,APL422,3,2,0,2,B,ADVANCED CFD-APL422,ARJUN SHARMA
2024-25,2,APL705,4,3,0,2,A,FINITE ELEMENT METHOD-APL705,S. PRADYUMNA
2025-26,1,APL710,4,3,0,2,D,COMPUTER AIDED DESIGN-APL710,MALOY KUMAR SINGHA
2024-25,2,APL711,3,3,0,0,J,ADVANCED FLUID MECHANICS-APL711,PRATEEK GUPTA
2024-25,2,APL713,3,3,0,0,H,TURBULENCE AND ITS MODELING-APL713,PRAPANCH NAIR
2024-25,2,APL720,4,3,0,2,A,COMPUTATIONAL FLUID DYNAMICS-APL720,VAMSI KRISHNA CHALAMALLA
2024-25,2,APL745,4,3,0,2,E,DEEP LEARNING FOR MECHANICS-APL745,SITIKANTHA ROY
2024-25,2,APL746,3,3,0,0,X,ENVIRONMENTAL FLUID DYNAMICS-APL746,RITABRATA THAKUR
2024-25,2,APL774,3,3,0,0,M,MODELING AND ANALYSIS-APL774,"SABYASACHI CHATTERJEE , SRIHARI SANKARASARMA VEMURI"
2024-25,2,APL776,4,2,0,4,C,PROCDUCT DESIGN AND FEASIBILITY STUDY-APL776,BADRI PRASAD PATEL
2024-25,2,APL787,3,3,0,0,X,FATIGUE FAILURE AND DESIGN-APL787,RITWIK BANDYOPADHYAY
2024-25,2,APL796,3,3,0,0,H,ADVANCED SOLID MECHANICS-APL796,SUSHMA SANTAPURI
2024-25,2,APL835,3,3,0,0,J,MECHANICS OF COMPOSITE MATERIALS-APL835,VIKRANT TIWARI
2024-25,2,BSD895,36,0,0,72,X,MAJOR PROJECT (MSR)-BSD895,SANDEEP KUMAR
2024-25,2,BSV711,1,1,0,0,X,STANDARDS - APPRECIATION OF STANDARDS-BSV711,DEBASHIS MITRA
2024-25,2,JTD792,3,0,0,6,X,MINOR PROJECT-JTD792,SANDEEP KUMAR
2024-25,2,JTD802,12,0,0,24,X,MAJOR PROJECT PART-II-JTD802,SANDEEP KUMAR
2024-25,2,BBD452,8,0,0,16,Q,MAJOR PROJECT PART 2 (BB1)-BBD452,KUMARI PRITI SINHA
2024-25,2,BBD852,14,0,0,28,X,MAJOR PROJECT PART 2 (BB5)-BBD852,ANJAN ROY
2024-25,2,BBD856,12,0,0,24,Q,MTP PART-II-BBD856,ANJAN ROY
2024-25,2,BBD895,36,0,0,72,Q,MAJOR PROJECT (MSR)-BBD895,LUCINDA ELIZABETH DOYLE
2024-25,2,BBL231,4.5,3,0,3,S1,MOLECULAR BIOLOGY & GENETICS-BBL231,PREETI SRIVASTAVA
2024-25,2,BBL342,3,2,1,0,H,PHYSICAL AND CHEMICAL PROPERTIES OF BIOMOLECULES-BBL342,AMIT DAS
2024-25,2,BBL431,2,2,0,0,E,BIOPROCESS TECHNOLOGY-BBL431,ASHISH MISRA
2024-25,2,BBL431,2,2,0,0,S1,BIOPROCESS TECHNOLOGY-BBL431,SUNIL NATH
2024-25,2,BBL432,2,2,0,0,H,FLUID SOLID SYSTEMS-BBL432,KUMARI PRITI SINHA
2024-25,2,BBL432,2,2,0,0,S1,FLUID SOLID SYSTEMS-BBL432,KUMARI PRITI SINHA
2025-26,1,BBL433,4,3,0,2,D,ENZYME SCIENCE AND ENGINEERING-BBL433,RAVI KRISHNAN ELANGOVAN
2024-25,2,BBL434,3,2,0,2,F,BIOINFORMATICS-BBL434,ISHAAN GUPTA
2024-25,2,BBL731,4.5,3,0,3,F,BIOSEPARATION ENGINEERING-BBL731,KRISHNA JYOTI MUKHERJEE
2024-25,2,BBL734,3,3,0,0,SU3,METABOLIC REGULATION AND ENGG.-BBL734,ASHISH MISRA
2024-25,2,BBL736,3,3,0,0,J,DYNAMICS OF MICROBIAL SYSTEMS-BBL736,ANJAN ROY
2024-25,2,BBL742,4,3,0,2,AB,BIOLOGICAL WASTE TREATMENT-BBL742,SHAIKH ZIAUDDIN AHAMMAD
2024-25,2,BBL746,3,3,0,0,H,CURRENT TOPICS IN BIOCHEMICALENGINEERING AND BIOTE-BBL746,JATIN PANWAR
2024-25,2,BBL747,3,3,0,0,B,BIONANOTECHNOLOGY-BBL747,PRASHANT MISHRA
2024-25,2,BBL751,2,2,0,0,S1,BIOTECHNOLOGY ENTREPRENEURSHIP-BBL751,RAVI KRISHNAN ELANGOVAN
2024-25,2,BBL757,3,3,0,0,AB,ELECTROMICROBIOLOGY AND BIOELECTROCHEMICAL SYSTEMS-BBL757,LUCINDA ELIZABETH DOYLE
2025-26,1,BBL774,4,3,0,2,D,BIOMOLECULAR ENGINEERING-BBL774,PREETI SRIVASTAVA
2024-25,2,BBL775,4.5,3,0,3,B,BIOREACTION ENGINEERING-BBL775,ATUL NARANG
2024-25,2,BBQ301,1,0,0,2,P,SEMINAR COURSE - I-BBQ301,SUNIL NATH
2024-25,2,BBQ302,1,0,0,2,P,SEMINAR COURSE - II-BBQ302,SUNIL NATH
2024-25,2,BBV752,1,1,0,0,K,AGRICULTURE SUSTAINABILITY THROUGH PLANT-ASSOCIATED MICROBIOMES-BBV752,SHILPI SHARMA
2024-25,2,JCD891,3,0,0,6,P,MINOR PROJECT-JCD891,ASHOK KUMAR BHATEJA
2024-25,2,JCD892,6,0,0,12,P,M.TECH. PROJECT PART-I-JCD892,ASHOK KUMAR BHATEJA
2024-25,2,CRD802,3,0,0,6,A,MINOR PROJECT-CRD802,NEEL KANTH KUNDU
2024-25,2,CRD811,6,0,0,12,Q,MAJOR PROJECT PART-I-CRD811,NEEL KANTH KUNDU
2024-25,2,CRD812,12,0,0,24,Q,MAJOR PROJECT PART 2-CRD812,NEEL KANTH KUNDU
2024-25,2,CRD814,6,0,0,12,Q,MAJOR PROJECT-III-CRD814,NEEL KANTH KUNDU
2024-25,2,CRL702,4,2,0,4,E,ARCHITECTURES AND ALGORITHMS FOR DSP SYSTEMS-CRL702,PRABHU BABU
2024-25,2,CRL704,3,3,0,0,X,SENSOR ARRAY SIGNAL PROCESSING-CRL704,NEEL KANTH KUNDU
2024-25,2,CRL708,3,3,0,0,J,SONAR SYSTEMS ENGINEERING-CRL708,ARUN KUMAR
2024-25,2,CRL712,3,3,0,0,A,RF AND MICROWAVE ACTIVE CIRCUITS-CRL712,VIGYANSHU MISHRA
